name,x_coordinate,y_coordinate,xy_type,uprn,statusdetail,status,sizecategory,primarytechnology
Kirkwall,344663,1010973,Manually Added,,Operational,Actual,Large (1MW+),Thermal Power
Hill of Fiddes,393495,824485,From Data Source,,Operational,Actual,Large (1MW+),Wind
Mains of Hatton,396115,858370,From Data Source,,Operational,Actual,Large (1MW+),Wind
Whitelee Windfarm Extension Phase 1,256300,645000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Loch Sminig Wind Project,137480,952680,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
ASDA Distribution Centre,289760,681885,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Torness,374710,675188,Manually Added,,Operational,Actual,Large (1MW+),Nuclear
Cogle Moss Wind Farm,327494,955985,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Herscha Wind energy Project (Extension),372896,780078,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Camster,325800,947400,From Data Source,,Operational,Actual,Large (1MW+),Wind
Bu Farm,362283,1023560,From Data Source,,Operational,Actual,Large (1MW+),Wind
Drumderg,324500,748500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Clyde Wind Farm,302500,617500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Novar Wind Farm (Extension),255500,871500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Hill of Towie (Drummuir),320000,860000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Distillery Road,364549,773768,From Data Source,,Potential,Potential,Unknown,Cooling Towers
Peterhead,412791,843094,Manually Added,,Operational,Actual,Large (1MW+),Thermal Power
Ewe Hill,315000,580000,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Baillie Wind Farm,302550,965650,From Data Source,,Operational,Actual,Large (1MW+),Wind
Drone Hill,383719,667227,From Data Source,,Operational,Actual,Large (1MW+),Wind
Tangy Wind Farm Extension,177000,626200,From Data Source,,Operational,Actual,Large (1MW+),Wind
Calliachar,285000,750000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Griffin Wind farm,293600,744600,From Data Source,,Operational,Actual,Large (1MW+),Wind
Lerwick,446456,1142794,Manually Added,,Operational,Actual,Large (1MW+),Thermal Power
St. Johns Hill,383500,777500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Blackcraig,270500,582500,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Little Raith Farm,322245,692552,From Data Source,,Operational,Actual,Large (1MW+),Wind
DSM DALRY,229333,650530,Postcode Centroid,,,Potential,Large (1MW+),Trigeneration
Rosehall Hill Forest Windfarm,249550,903550,From Data Source,,Operational,Actual,Large (1MW+),Wind
Bankend Rig,265553,633692,From Data Source,,Operational,Actual,Large (1MW+),Wind
Hill of Easterton Extension,376449,831808,From Data Source,,Operational,Actual,Large (1MW+),Wind
Fallago Rig,357000,660000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Cathkin Braes Wind Farm (Castlemilk),261220,658203,From Data Source,,Operational,Actual,Large (1MW+),Wind
Ark Hill,335700,742600,From Data Source,,Operational,Actual,Large (1MW+),Wind
Pentland Road Wind Farm,135500,938700,From Data Source,,Operational,Actual,Large (1MW+),Wind
Edintore Wind Farm,342422,846573,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Tralorg Wind Farm,221728,598656,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Gremista Wind Farm,446287,1145628,From Data Source,,Operational,Actual,Large (1MW+),Wind
Clentrie Wind Farm (Gevens),322212,692370,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Penbreck & Carmacoup Forest (Resubmission),269500,627500,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Torrance Farm Wind Park Extension,290908,666200,From Data Source,,Operational,Actual,Large (1MW+),Wind
Goathill Quarry Turbine,317941,688959,From Data Source,,Operational,Actual,Large (1MW+),Wind
Noble Foods Wind Turbine (resubmission),328104,697428,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
"COWIE, NORBORD LTD",283708,688834,Postcode Centroid,,,Potential,Large (1MW+),Trigeneration
Skeddoway Farm Wind Turbine (Resubmission),328104,697699,From Data Source,,Operational,Actual,Large (1MW+),Wind
Middle Balbeggie Wind Turbines,327760,696279,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Greengairs Wind Farm,279673,669835,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Meikle Carewe (Re-Submission),383200,792000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Andershaw,283500,625500,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Kildrummy Windfarm,357655,815170,From Data Source,,Operational,Actual,Large (1MW+),Wind
Dunmaglass Wind Farm,264000,820120,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Harestanes,300000,595000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Corriemoillie (Resubmission),234700,867700,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Hill of Stroupster Windfarm,334250,966250,From Data Source,,Operational,Actual,Large (1MW+),Wind
Burn of Whilk,329650,941550,From Data Source,,Operational,Actual,Large (1MW+),Wind
Lochluichart,232030,866235,From Data Source,,Operational,Actual,Large (1MW+),Wind
Burnhead,289158,670199,From Data Source,,Operational,Actual,Large (1MW+),Wind
Sneddon Law Community Wind Farm,249387,641441,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
STOCKETHILL CHP,391068,807242,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Easter Tolmauds,362478,807524,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Hare Hill Extension,265320,609703,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
