name,x_coordinate,y_coordinate,xy_type,uprn,statusdetail,status,sizecategory,primarytechnology
,387389,813263.3,From Data Source,10025445492,Potential,Potential,Unknown,Cooling Towers
Reclaimed Ground,400146,866683,From Data Source,151148308,Potential,Potential,Unknown,Cooling Towers
TESCO - AYR 2042,235210,622419,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
North Calliachar Wind Farm,285519,744254,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Craig Wind Farm (Extension),202000,557000,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
California Wind Farm,250945,554878,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Plascow wind cluster (resubmission),287380,563820,From Data Source,,Operational,Actual,Large (1MW+),Wind
Annabaglish Wind Farm,228450,557980,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Wether Hill WindFarm (extension),270506,593932,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
TESCO - BELLSHILL 6003,273259,660359,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
BARLOCKHART MOOR - extension,222700,557109,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Glenmuckloch Wind Farm,270269,615690,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Carscreugh Renewable Energy Park,225000,555000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Whiteside Hill,271440,608920,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Margree Windfarm,267500,586500,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
TESCO - ANNAN 6052,320122,566491,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
North Rhins,201980,557960,From Data Source,,Operational,Actual,Large (1MW+),Wind
Ulzieside,273560,605960,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Jacksbank Wind Farm (Glenbervie),376574,783246,From Data Source,,Operational,Actual,Large (1MW+),Wind
Sunnyside wind cluster,276612,611178,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Keith Hill Wind Farm,348373,658532,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Minsca,313821,581690,From Data Source,,Operational,Actual,Large (1MW+),Wind
Artfield Fell,222500,567500,From Data Source,,Operational,Actual,Large (1MW+),Wind
TESCO - BANCHORY,371739,796758,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Wether Hill,270000,594000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Dalswinton,295000,589000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Craig Wind Farm,331995,586055,From Data Source,,Operational,Actual,Large (1MW+),Wind
Beinn an Tuirc Phase 2,173950,636900,From Data Source,,Operational,Actual,Large (1MW+),Wind
Aikengall,369468,669455,From Data Source,,Operational,Actual,Large (1MW+),Wind
Windy Standard,261500,602500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Torrs Hill,252600,589000,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
TESCO - FALKIRK,291389,678641,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Hoprigshiels Community Wind Farm,375631,669803,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Longpark Wind Farm Extension,346733,642570,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
TESCO - MARYHILL,257090,668363,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Glenkerie Wind Farm Extension,310453,628117,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Black Law Extension - 1b,289500,653500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Strathy Wood,282146,955604,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
South Kyle Wind Farm,254576,604980,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
TESCO - LESMAHAGOW,279898,641478,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Millennium South (Extension 3),225200,810300,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Millennium South - Extension,227236,807450,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Hill of Towie II Wind Farm,320000,860000,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Aikengall IIa Community Wind Farm,371793,666791,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Glen App,208880,571432,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Glentaggart Wind Farm,286170,627590,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Stronelairg Wind Farm,247166,806833,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Tullymurdoch Wind Farm,319575,752228,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Penmanshiel Wind Farm,380006,667129,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
TESCO - INVERNESS INSHES,265740,843036,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Kinegar Quarry (resubmission),377377,671362,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Lethans Wind Farm,268331,616048,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Garleffan Wind Farm,262425,617645,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Hunterston Test Centre,218776,652956,From Data Source,,Operational,Actual,Large (1MW+),Wind
Knockskae Wind Farm,235665,601509,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Polquhairn Wind Farm,247664,614728,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Keirs Hill (Sclenteuch) Wind Farm,242200,607700,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
TESCO - MUSSELBURGH EXTRA (6193),334146,672483,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Carraig Gheal,196465,721170,From Data Source,,Operational,Actual,Large (1MW+),Wind
Langhope Rig,340680,620050,From Data Source,,Operational,Actual,Large (1MW+),Wind
Viking Wind Farm,443800,1161960,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Clashindarroch 2 (Revised),348000,831000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Strathy North,281550,957550,From Data Source,,Operational,Actual,Large (1MW+),Wind
Mid Hill - Phase II,370540,786500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Kype Muir Wind Farm Extension,271915,639557,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Monan Hill Wind Turbines,114171,904933,From Data Source,,Operational,Actual,Large (1MW+),Wind
Tesco  - Carluke 6400,284545,649960,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Loganhead Wind Farm,330880,586580,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Crossdykes Wind Farm,325400,587500,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Kenly Wind Farm (University of St Andrew's),349269,717002,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Halsary Wind Farm,315749,950081,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Glenchamber Wind Farm,223765,566671,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Bhlaraidh (previously Balmacaan),244194,817221,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Kype Muir Wind Farm,271915,639557,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Assel Valley Wind Farm,223370,595995,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Bad a Cheo Wind Farm,316615,948900,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Corriegarth,257500,813500,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Damhead Circle,411779,844590,From Data Source,151550103,Potential,Potential,Unknown,Cooling Towers
TESCO - FALKIRK VF NORTHERN 6505,286220,680779,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Mid Hill I,370540,786500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Ardrossan Extension,223500,642500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Beinn Tharsuinn Windfarm Project,261700,881900,From Data Source,,Operational,Actual,Large (1MW+),Wind
Boyndie Airfield,361978,864118,From Data Source,,Operational,Actual,Large (1MW+),Wind
Edinbane Wind Farm,134353,850769,From Data Source,,Operational,Actual,Large (1MW+),Wind
Fairburn,242550,852250,From Data Source,,Operational,Actual,Large (1MW+),Wind
Farr Wind Farm,273500,829000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Flotta,336770,995385,From Data Source,,Operational,Actual,Large (1MW+),Wind
Hill of Lybster (Extension),302000,969500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Michelin Tyre Co Ltd - Dundee,345050,732750,From Data Source,,Operational,Actual,Large (1MW+),Wind
GLAXOSMITHKLINE MONTROSE,371980,757110,Postcode Centroid,,,Potential,Large (1MW+),Trigeneration
Millennium Windfarm,225679,810840,From Data Source,,Operational,Actual,Large (1MW+),Wind
Muirhall,300605,653760,From Data Source,,Operational,Actual,Large (1MW+),Wind
Paul's Hill and Extension,311500,840500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Wardlaw Wood,224900,651200,From Data Source,,Operational,Actual,Large (1MW+),Wind
Ceannacroc,222790,811296,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Hydro
Allt Essan,244616,728091,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Hydro
Sustainable Power and Research Campus,345036,719505,Postcode Centroid,,Under Construction,Actual,Large (1MW+),CHP 2
"GLAXOSMITHKLINE, IRVINE",234491,636761,Postcode Centroid,,,Potential,Large (1MW+),Trigeneration
House O’Hill Solar Farm,397540,859050,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Kilrubie Wind Farm,322102,648257,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Achlachan 2 Wind Farm,315293,951239,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Cairnmore Solar Park,350267,824528,From Data Source,,Operational,Actual,Large (1MW+),Photovoltaic
Bruach Caorainn Hydro Scheme,241957,700895,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Hydro
CALEDONIAN PAPER,233621,635287,Postcode Centroid,,,Potential,Large (1MW+),Trigeneration
Green knowes Windfarm Ext. (resubmission),297990,706550,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Binn Eco park Wind Farm,317830,713430,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
New Mains Of Guynd Farm,356528,742680,From Data Source,,Under Construction,Actual,Large (1MW+),Photovoltaic
Gawnsmoss Cluster,363483,859316,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Drumelzie,288864,669037,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
BALCAS INVERGORDON,272097,870464,Postcode Centroid,,,Potential,Large (1MW+),Trigeneration
A'Chruach (Phase 2),194350,697350,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Shire-End Farm,309606,709502,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Georgemas,291110,955562,From Data Source,,Awaiting Construction,Actual,Large (1MW+),CHP 2
Fallago Rig 2 (extension),369234,657296,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Pressock Farm,356893,749462,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Inner Sound Phase 1B (MeyGen),335503,984335,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Tidal Stream
Land to the north west of Hill of Petty,375052,835922,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
"LEVENMOUTH WWTW, CELTS LIMITED",337253,700394,Postcode Centroid,,,Potential,Large (1MW+),Trigeneration
Aldi Distribution Centre,296982,666291,From Data Source,,Operational,Actual,Large (1MW+),Photovoltaic
Dorenell Wind Farm (redesign),332000,829500,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Land South East Of Auchterhead,287876,654682,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Allt an Dubh Choirein,269463,715260,From Data Source,,Application Submitted,Potential,Large (1MW+),Hydro
Upper Sonachan Wind Farm,206490,720032,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Eascairt Wind Farm,183500,655000,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Pencloe Wind Farm,257641,610606,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Dorenell Wind Farm (extension),333116,832087,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Field 279M North East of 15 Tealing,341126,738331,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Levenseat EfW,294854,655234,From Data Source,,Under Construction,Actual,Large (1MW+),Energy from Waste
Sanquhar 'Six' Community Wind Farm,268285,606841,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Millerhill EfW (resubmission),332352,670580,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Energy from Waste
South Priorhill Farm,275280,639176,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
"Land To The West Of Kirkton Barns Farm           
",344749,726196,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
"West Mains of Kinblethmont 
",363182,746857,From Data Source,,Operational,Actual,Large (1MW+),Photovoltaic
"Cameron Reservoir     
",347689,710386,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Druim Ba Windfarm (resubmission),252358,838656,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
West Strathore House,328619,697504,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Ferneylea Farm,373273,668433,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Sandy Knowe Wind Farm (resubmission),270100,610600,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Douglas West and Dalquhandy Renewable Energy Project,280968,634257,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Bankend Rig II Wind Farm,264000,633700,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
River Coiltie Hydro Scheme,249251,827905,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Hydro
Forrestfield Wind Farm,286350,666350,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Cumberhead Wind Farm,276581,632651,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Land East of Sandyford,342302,754319,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Killoch Depot,248650,620732,From Data Source,,Application Submitted,Potential,Large (1MW+),Energy from Waste
Invergordon Pellet Mill,271390,870450,From Data Source,,Operational,Actual,Large (1MW+),Thermal Power
Jamesfield Solar Farm,320043,717986,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Hill of Blairfowl Solar Farm,379540,837700,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Wormit Solar Farm,340703,725248,From Data Source,,Under Construction,Actual,Large (1MW+),Photovoltaic
Stronafian Community Forest Wind Turbines,201797,684359,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Carey Solar Farm,317354,716778,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Land to the North West of Sypsies Farm,359901,707818,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Montreathmont Moor Forest,357573,753072,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Shewalton Landfill Site,233455,636406,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Loch Hill Wind Farm (resubmission),266794,584308,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Glenugie Engineering Works,412509,844322,From Data Source,151100260,Potential,Potential,Unknown,Cooling Towers
Caledonian Papermill,233710,634940,From Data Source,,Operational,Actual,Large (1MW+),Thermal Power
Carsebank Farm,348194,754403,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Pogbie Wind Farm,347360,661013,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Drummygar Solar Park,355381,743777,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Field 730M West Of Queen Street,349552,754769,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Muirmealing Solar Farm,299830,692727,From Data Source,,Application Submitted,Potential,Large (1MW+),Photovoltaic
Morayhill AD,274982,849481,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Anaerobic Digestion
West Grange Solar Farm,298368,689777,From Data Source,,Application Submitted,Potential,Large (1MW+),Photovoltaic
Cowie Biomass Facility,284085,688685,From Data Source,,Operational,Actual,Large (1MW+),Thermal Power
Park Farm AD,263684,649872,From Data Source,,Application Submitted,Potential,Large (1MW+),Anaerobic Digestion
Ballochmartin,216964,656725,From Data Source,,Application Submitted,Potential,Large (1MW+),Photovoltaic
South of Greenwellheads,406370,854550,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Balhearty Solar,293723,695800,From Data Source,,Operational,Actual,Large (1MW+),Photovoltaic
Middle Balbeggie,328855,695619,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Land North of Balbeggie Avenue,328587,696532,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Nethermains,231611,604614,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Bruxiehall Farm,408820,851140,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Mountwest Wind Cluster (resubmission),384500,828500,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Forth of Firth (Methil),338141,696278,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Land at Hunterston Estate,219397,650592,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Stoney Hill Farm,266542,636804,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Inchdairnie,324885,699061,From Data Source,,Application Submitted,Potential,Large (1MW+),Anaerobic Digestion
Berryhill Farm Solar Array,273164,679927,From Data Source,,Application Submitted,Potential,Large (1MW+),Photovoltaic
Glenhead Farm Lower Solar Array,274229,678358,From Data Source,,Application Submitted,Potential,Large (1MW+),Photovoltaic
Glenhead Farm (Upper),273746,680043,From Data Source,,Application Submitted,Potential,Large (1MW+),Photovoltaic
Farm at Lower Polmaise,283438,693163,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Westfield Biomass Power Station,319000,695100,From Data Source,,Operational,Actual,Large (1MW+),Thermal Power
Highlee Hill Wind Farm,361972,618210,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Parkhill Solar Farm,364125,745917,From Data Source,,Under Construction,Actual,Large (1MW+),Photovoltaic
North Lambeiletham Farm,351122,713657,From Data Source,,Application Submitted,Potential,Large (1MW+),Photovoltaic
Cairnmore Solar Park (extension),350467,824466,From Data Source,,Operational,Actual,Large (1MW+),Photovoltaic
Eas a Ghaill,219607,727417,From Data Source,,Operational,Actual,Large (1MW+),Hydro
Binn Farm AD (extension),317439,713725,From Data Source,,Under Construction,Actual,Large (1MW+),Anaerobic Digestion
Brackenhills Farm (resubmission),358303,859511,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Culterfield Windfarm (resubmission),442000,1129500,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Upper Geiselittle Biomass Plant,312487,965579,From Data Source,,Awaiting Construction,Actual,Large (1MW+),CHP 2
Glen Noe River,204878,734104,From Data Source,,Application Submitted,Potential,Large (1MW+),Hydro
"Land between Lorg Hill, Ewe Hill and Brown Hill",266135,600844,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Lochdar Hill Wind Farm,81028,842424,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
River Pattack (resubmission),254876,783125,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Hydro
Fordmouth,298158,650900,From Data Source,,Application Submitted,Potential,Large (1MW+),Photovoltaic
North Clyde Recycling Centre (resubmission),250389,669199,From Data Source,,Application Submitted,Potential,Large (1MW+),Anaerobic Digestion
Alton Muirhouse Farm,250877,640340,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Lorg Windfarm,263239,601647,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Standalane near Ballencrieff,348081,677289,From Data Source,,Application Submitted,Potential,Large (1MW+),Anaerobic Digestion
Lower Thura,325234,962304,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Acharn Forest Killin Biomass Plant,256236,731409,From Data Source,,Awaiting Construction,Actual,Large (1MW+),CHP 2
Hunterston (National Offshore Wind Turbine test facility),219008,652726,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Pulteney Distillery,336714,950114,From Data Source,,Operational,Actual,Large (1MW+),CHP 2
Avondale Quarry (Pilot),295367,678750,From Data Source,,Application Submitted,Potential,Large (1MW+),Energy from Waste
Draffanmarshill Farm,278551,645431,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Corriemoillie (resubmission),235828,863603,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Achnabreck,192406,690450,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Energy from Waste
"Bridge House, Muasdale, Tarbert, Strathclyde",172190,641550,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Quantans Hill Wind Farm,262720,571925,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Commerce Road,206357,559992,From Data Source,137015916,Potential,Potential,Unknown,Cooling Towers
Garroch Business Park,294422.6,575129.9,From Data Source,10015351072,Potential,Potential,Unknown,Cooling Towers
Dalbeattie Road,294891.4,574700.1,From Data Source,10024757348,Potential,Potential,Unknown,Cooling Towers
Dargavel Stores,300882,577386.7,From Data Source,10015469308,Potential,Potential,Unknown,Cooling Towers
Lockerbie Creamery,310386.6,581169.8,From Data Source,10024908550,Potential,Potential,Unknown,Cooling Towers
Port Street,318788.9,566275.9,From Data Source,10015403451,Potential,Potential,Unknown,Cooling Towers
Stapleton Road,320503,566618.9,From Data Source,10015472811,Potential,Potential,Unknown,Cooling Towers
Brunel Road,335298.2,732109,From Data Source,10015396264,Potential,Potential,Unknown,Cooling Towers
Whittle Place,335920.7,732072.6,From Data Source,10015293104,Potential,Potential,Unknown,Cooling Towers
Camperdown Leisure Complex,337136.7,732685.6,From Data Source,10024865818,Potential,Potential,Unknown,Cooling Towers
George Buckman Drive,337277.5,733056,From Data Source,10024864120,Potential,Potential,Unknown,Cooling Towers
Balgray Street,340086.6,732313.7,From Data Source,10015334910,Potential,Potential,Unknown,Cooling Towers
East Camperdown Street,341880.4,730699.3,From Data Source,10015310937,Potential,Potential,Unknown,Cooling Towers
Forties Road,344623.8,732995.6,From Data Source,10015366555,Potential,Potential,Unknown,Cooling Towers
Baldovie Road,345031.3,732720,From Data Source,10025424432,Potential,Potential,Unknown,Cooling Towers
Oxwell Mains,369891,676608,From Data Source,138057687,Potential,Potential,Unknown,Cooling Towers
Dunbar,374541,675143,From Data Source,138000778,Potential,Potential,Unknown,Cooling Towers
BioGenpower Irvine gasification plant,233698,636616,From Data Source,126062814,"Consented, not built",Potential,Large (1MW+),Energy from Waste
"Drumshangie, Airdrie North energy from waste facility",277785,670208,From Data Source,,Under Construction,Actual,Large (1MW+),Energy from Waste
Georgemas Junction CHP Caithness,315591,958273,From Data Source,,"Consented, not built",Potential,Large (1MW+),CHP 2
Carseview Road,346239.5,751744.8,From Data Source,10025446945,Potential,Potential,Unknown,Cooling Towers
Corpach Biomass Energy Plant,209648,776708,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Thermal Power
HOBESCO2,371576,796982,From Data Source,,Operating,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Rothes Bio-Plant,327767,849116,From Data Source,,Operational,Actual,Large (1MW+),CHP 2
North British Distillery - phase 1,322877,672521,Postcode Centroid,906262633,Operating,Actual,Large (1MW+),Energy from Waste
Northern Energy Developments - project 2,213919,681173,From Data Source,,"Consented, not built",Potential,Large (1MW+),CHP 2
Northern Energy Developments - project 3,185575,690320,From Data Source,,"Consented, not built",Potential,Large (1MW+),CHP 2
Markinch Biomass CHP Plant,327988,701561,From Data Source,,Operational,Actual,Large (1MW+),CHP 2
"Pond Green Energy Park, phase 2",296452,667203,From Data Source,,"Consented, not built",Potential,Large (1MW+),Energy from Waste
Swinton Green district heating,383517,647376,Postcode Centroid,,In Scoping,Potential,Unknown,Heat Only Boiler
"Zero Waste Parc, Edinburgh",332352,670580,From Data Source,,Under Construction,Actual,Large (1MW+),Energy from Waste
Binn Farm - gasification plant,317233,713295,From Data Source,124085964,"Consented, not built",Potential,Large (1MW+),Energy from Waste
Coatbridge Material Recovery and Renewable Energy Facility (ACT – Pyrolysis),274352,662620,From Data Source,118176025,Under Construction,Actual,Large (1MW+),Energy from Waste
"Dunbar Power Plant, Oxwellmains",371051,675563,From Data Source,138017145,Under Construction,Actual,Large (1MW+),Energy from Waste
Charlesfield Biomass CHP Plant,358892,629839,From Data Source,,Under Construction,Actual,Large (1MW+),Energy from Waste
Diageo Biomass Energy Project,334567,700177,From Data Source,,Operational,Actual,Large (1MW+),Thermal Power
Speyside Biomass CHP Plant,327641,845585,From Data Source,,Under Construction,Actual,Large (1MW+),CHP 2
CalaChem,291677,681407,From Data Source,136067649,In Scoping,Potential,Large (1MW+),CHP 2
Biogas Power Ltd - Keithick Biogas,320858,738688,From Data Source,,Operating,Actual,Unknown,Energy from Waste
Biogas Power Ltd - St Boswells,358892,629839,From Data Source,,Under Construction,Actual,Unknown,Energy from Waste
Craigton Cottages Biomass Boiler Heating System,371336,800123,From Data Source,,Operating,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Elliot Industrial Estate,362171.3,740052.9,From Data Source,10025441471,Potential,Potential,Unknown,Cooling Towers
All Weather Pitch Car Park,436045,1167314,From Data Source,,Operating,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Stevens Croft,312100,585100,From Data Source,,Operational,Actual,Large (1MW+),Thermal Power
Killoch Depot EfW,248650,620732,From Data Source,,In planning,Potential,Large (1MW+),Energy from Waste
Macphie of Glenbervie,376500,780500,From Data Source,,Operational,Actual,Large (1MW+),Thermal Power
Acharn Forest Killin Biomass Plant,256236,731409,From Data Source,,"Consented, not built",Potential,Large (1MW+),CHP 2
Deerdykes Composting and Organics Recycling Facility (Waste AD),277924,676998,From Data Source,,Operational,Actual,Large (1MW+),Anaerobic Digestion
Cumbernauld BioPlant  (Waste AD),277924,676998,From Data Source,,Operational,Actual,Large (1MW+),Anaerobic Digestion
Energen biogas cumbernauld,277889,676918,From Data Source,,Operational,Actual,Large (1MW+),Anaerobic Digestion
Barkip Anaerobic Digestor (Waste AD),229333,650530,From Data Source,,Operational,Actual,Large (1MW+),Anaerobic Digestion
Lochhead Landfill CHP,308683,690319,From Data Source,,Operational,Actual,Large (1MW+),Anaerobic Digestion
Glasgow Renewable Energy and Recycling Centre (Waste AD),259509,662366,From Data Source,,Under Construction,Actual,Large (1MW+),Anaerobic Digestion
M74 Central Coalburn (Waste AD),283383,635612,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Anaerobic Digestion
Sir William Smith Road,362542.8,742557.4,From Data Source,10024854918,Potential,Potential,Unknown,Cooling Towers
North Clyde Recylcing Centre (Waste AD),250440,669070,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Anaerobic Digestion
Pure Malt Products AD,351977,674000,From Data Source,,Operational,Actual,Large (1MW+),Anaerobic Digestion
GlaxoSmithKline (Waste AD),234362,636566,From Data Source,,Operational,Actual,Large (1MW+),Anaerobic Digestion
West Roucan Farm,302227,578926,From Data Source,,Operational,Actual,Large (1MW+),Anaerobic Digestion
Millerhill AD (Waste AD),332400,670800,From Data Source,,Under Construction,Actual,Large (1MW+),Anaerobic Digestion
Glendoe Hydro Scheme,239200,809000,From Data Source,,Operational,Actual,Large (1MW+),Hydro
Fasnakyle Hydro Extension,231850,829750,From Data Source,,Operational,Actual,Large (1MW+),Hydro
